"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Total time (%)","Max time (ms)","Last change","Prevent Suspend Time"
"PowerManagerService.Broadcasts","3","3","0","0","0","0","0","0","1957814","0"
"PowerManagerService.WakeLocks","76","76","1","0","0","0","0","0","2168382","0"
"KeyEvents   ","150","150","0","0","0","0","0","0","2609686","0"
"PowerManagerService.Display","2","2","0","0","0","1","0","0","1958539","0"
"rfkill_rk_irq_wl","0","0","0","0","0","0","0","0","804","0"
"rfkill_wlan_wake","0","0","0","0","0","0","0","0","804","0"
"key.36      ","0","0","0","0","0","0","0","0","794","0"
"rk29-keypad ","1","2","0","1","0","0","0","0","1024420","0"
"alarm       ","86","86","0","0","0","0","0","0","2408356","0"
"mmc1_detect ","0","0","0","0","0","0","0","0","751","0"
"mmc0_detect ","1","1","0","1","0","0","0","0","1280","0"
"bq27542-battery","628","628","4","0","0","0","0","0","2611326","0"
"ff680000.pwm","0","0","0","0","0","0","0","0","570","0"
"rk29_pwm_remote","0","0","0","0","0","0","0","0","570","0"
"usb_pcd     ","1","1","0","0","1","1","0","1","1057192","0"
"rtw_wifi_scan","0","0","0","0","0","0","0","0","536","0"
"rtw_wifi_resume","0","0","0","0","0","0","0","0","536","0"
"rtw_wifi_traffic","0","0","0","0","0","0","0","0","536","0"
"rtw_wifi_rx ","0","0","0","0","0","0","0","0","536","0"
"rtw_wifi_ext","0","0","0","0","0","0","0","0","536","0"
"rtw_wifi    ","0","0","0","0","0","0","0","0","536","0"
"vibrator    ","7","7","0","0","0","0","0","0","2606986","0"
"iep         ","1","1","0","0","0","0","0","0","524","0"
"alarmtimer  ","0","0","0","0","0","0","0","0","514","0"
"vpu         ","1","1","0","0","0","0","0","0","513","0"
"vpu         ","1","1","0","0","0","0","0","0","512","0"
"rga         ","0","0","0","0","0","0","0","0","353","0"
"rk808-rtc   ","54","54","0","0","0","0","0","0","1593273","0"
"rk808_irq_wake","55","55","0","0","0","0","0","0","1593273","0"
"bq25890-charger","0","0","0","0","0","0","0","0","200","0"
"bq25890-charger","56","56","0","0","0","0","0","0","1057604","0"
"usb_detect  ","1","1","0","1","0","0","0","0","1066740","0"
"serial-debug","1","1","0","0","0","0","0","0","640","0"
"autosleep   ","0","0","0","0","0","0","0","0","120","0"
